"","LCBD","LCBDrepl","LCBDrich","Longitude","Latitude","grid_bio1","grid_bio7","grid_bio12","grid_bio15","RELIEF_MN","Avg_HERMER","Avg_USP","soil_var","Rugg_avg","Rugg_range","Water.T","pH","Cond","Turb","Chl","Secchi","Alkalinity","Ca","Mg","K","Na","Si","Cl","NO2","NO3","SO4","PO4","TN","TP","DO..","DO","Carbonate","Silicate","DOC","Waterdepth","MaxDepth","Lake_area","Shore_len","Shore_dev","Vol_total","Vol_res","Vol_src","Depth_avg","Dis_avg","Res_time","Slope_100","Wshd_area","Elevation","area_sub.Basin","area_waterbody","MAT","P.season","MAP","T.season","Connectivity","X..aquatic.habitat","Ecoregion","Freshwater.ecoregion","TRI","tri1","lanfdorm","geology","land.cover","HFP2009","Bare.Desert","Barren.Tundra","Cold.Grassland","Cool.Grasses.and.Shrubs","Cool.Southern.Hemisphere.Mixed.Forests","Corn.and.Beans.Cropland","Crops.and.Town","Crops..Grass..Shrubs","Dry.Woody.Scrub","Evergreen.Broadleaf.Forests","Evergreen.Forest.and.Fields","Fields.and.Woody.Savanna","Forest.and.Field","Glacier.Ice","Grass.Crops","Hot.and.Mild.Grasses.and.Shrubs","Inland.Water","Low.Sparse.Grassland","Montane.Tropical.Forests","Rice.Paddy.and.Field","Savanna..Woods.","Sea.Water","Seasonal.Tropical.Forest","Semi.Desert.Shrubs","Shrub.Deciduous","Shrub.Evergreen","Southern.Hemisphere.Mixed.Forest","Succulent.and.Thorn.Scrub","Tropical.Degraded.Forest","Tropical.Rainforest","Upland.Tundra","Urban","Wooded.Wet.Swamp","Woody.Savanna","Barren","Grassland.and.shrubs","Forests","Savanna","Rainforest","Wetland","Agriculture","Crops.and.town","Urban.1","Inland.water","lake_depth_ratio","lake_catch_ratio","catch_vol_ratio","region","humanDensity","croplandhistoric","Component.1","Component.2","Component.3","Component.4"
"1",0.00620815375653565,0.00378988790085568,0.020460290274541,-68.61903333,-17.3261,68.54,161.37,712.48,84.34,4008.77,0.2,183.47,14,169.1,1167,NA,6.5,3580,NA,NA,NA,NA,112.7,19.63,529,15.2,5.336,783.291,NA,0.4433,271.551,NA,NA,0.1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3812,42.5,37.6,86,103,390,2549,0.0136,2.361210299,"Central Andean dry puna",337,2.25,0.311666,4,2,"Inland Water",6.006078243,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,27.09,0,65.38,0,0,0,0,3.65,0,0,0,0,96.93,0,0,0,0,0,0,0,3.03,NA,NA,NA,"Desaguadero-SAltiplano",452.531640625,4.54501855373383,-1.49938750978056,1.54720477565523,0.374605909636521,0.0793973455169059
"2",0.00634607859590313,0.00347069246806155,0.0238801175225338,-67.48318333,-17.666,95.25,147.56,795.13,86.84,3525.39,0.12,48.36,13,344.48,1013,NA,7.5,13500,NA,NA,NA,NA,359.3,161.145,1770,7.9,0.8517,2225.753,NA,0.0176,1732.713,NA,NA,0.2683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,183.9,65.4,91,97,376,2059,0.0084,2.578660979,"Central Andean dry puna",337,0.75,0.415702,4,2,"Cold Grassland",12.61259842,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0.1,0,0,0,0,5.26,0,14.31,0,0,0,0,76.63,0,0,0.08,0,97.44,0.1,0.08,0,0,0,0,0,2.39,NA,NA,NA,"Desaguadero-SAltiplano",347.09677734375,2.87758011817932,-2.80343749636391,0.759907804549035,1.47612683875332,-0.105143864676927
"3",0.00593160451224077,0.00596376690143786,0.00341672006064581,-67.48108333,-17.66081667,95.25,147.56,795.13,86.84,3525.39,0.12,48.36,13,344.48,1013,NA,7.5,6460,NA,NA,NA,NA,261.8,91.33,788,37,14.866,1022.406,NA,0.0858,925.877,NA,NA,0.1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3731,183.9,37.6,91,97,376,2059,0.0084,2.578660979,"Central Andean dry puna",337,1.125,0.415702,4,2,"Cold Grassland",12.61259842,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0.1,0,0,0,0,5.61,0,14,0,0,0,0,76.5,0,0,0.08,0,97.38,0.1,0.08,0,0,0,0,0,2.43,NA,NA,NA,"Desaguadero-SAltiplano",347.09677734375,2.87758011817932,-2.44054333199113,0.65846737616069,0.858232338349144,-0.048540006182716
"4",0.00589017141972986,0.00336220719150389,0.0201977739348864,-67.64608333,-22.52805,91.16,230.07,28.58,208.68,3103.69,0.16,5.3,5,135.76,1218,NA,NA,548,NA,NA,NA,NA,31.43,1.97,65.8,9.7,42.18,21.226,NA,0.3509,154.452,NA,NA,0.0108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4396,95.1,62.6,45,148,50,3357,0.004,4.893870007,"Central Andean dry puna",339,9.375,0.243118,6,4,"Bare Desert",8,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,0,0,0,0,0,37.9,0,0,0,0,17.46,0,0,0.09,42.21,55.36,0,0.09,0,0,0,0,0,2.36,NA,NA,NA,"Desaguadero-SAltiplano",5.58520075678825,0,0.0456910424669579,2.50002620723646,-0.224019627536097,0.0294759980959175
"5",0.00616947157292666,0.00643419126663366,0.00269400085172411,-68.78646667,-16.98438333,68.54,161.37,712.48,84.34,4008.77,0.2,183.47,14,169.1,1167,NA,NA,3830,NA,NA,NA,NA,302,37.26,320,18.1,19.877,588.369,NA,1.3629,579.394,NA,NA,0.1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823,48.3,102.2,82,99,497,2387,0.0064,0.678328892,"Central Andean dry puna",337,3.75,0.31862,1,2,"Semi Desert Shrubs",4.100739002,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,62.25,0,17.77,0,0,0,0,6.98,0,0,0,0,99.86,0,0,0,0,0,0,0,0.15,NA,NA,NA,"Desaguadero-SAltiplano",647.827896118164,8.38922643661499,-1.96146911076521,1.52585388801175,1.51144004316016,-0.0338450785822325
"6",0.00521142068134192,0.00570263964880274,0.00249472441793991,-67.30683333,-17.74518333,95.25,147.56,795.13,86.84,3525.39,0.12,48.36,13,344.48,1013,NA,NA,7590,NA,NA,NA,NA,371.5,56.64,939,43.6,6.117,1511.552,NA,0.0034,934.878,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724,152.3,68.7,93,97,406,2235,0.002,11.41319119,"Central Andean dry puna",337,1,0.307504,3,4,"Upland Tundra",14.25008202,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,6.65,0,10.65,0,0,0,0,77.68,0,0,0.03,0,99.91,0.05,0.03,0,0,0,0,0,0,NA,NA,NA,"Desaguadero-SAltiplano",240.395588684082,1.44555622339249,-2.57751060611721,1.86512742842102,1.19579025839183,-0.0451062852333871
"7",0.00597102650801387,0.00329510058712353,0.022907956274074,-66.95296667,-18.56863333,58.15,226.71,213.66,120.45,4172.43,0.23,37.49,6,152.93,644,NA,NA,2270,NA,NA,NA,NA,116,29.41,187,16.6,23.255,204.438,NA,0.1612,561.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701,81.3,183.9,97,114,313,2947,4e-04,37.16105803,"Central Andean dry puna",337,4,0.576425,6,2,"Semi Desert Shrubs",12.00015163,5.58,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32,0,0.1,0,0,0,0,29.07,0,3.84,0,0,0,0,39.16,0,0,0.76,5.58,80.21,0.1,0.76,0,0,0,0,0,13.32,NA,NA,NA,"Desaguadero-SAltiplano",408.530500793457,0.440872818231583,-1.47420013273649,1.97283810992243,1.02815912321175,-0.0246504053807442
"8",0.00593418518546835,0.00743472708425869,0.000197768637577264,-68.61775,-17.3132,68.54,161.37,712.48,84.34,4008.77,0.2,183.47,14,169.1,1167,NA,NA,1250,NA,NA,NA,NA,71.11,14.801,134.8,9.3,19.717,181.272,NA,1.347,131.157,NA,NA,0.0771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3821,42.5,68.7,86,104,393,2556,0.0136,2.361210299,"Central Andean dry puna",337,3.25,0.448422,4,2,"Shrub Deciduous",6.013498306,0,0,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,28.15,0,64.75,0,0,0,0,2.87,0,0,0,0,97.03,0,0,0,0,0,0,0,2.93,NA,NA,NA,"Desaguadero-SAltiplano",452.531640625,4.54501855373383,-0.854600979676748,2.13698490475976,0.546294729080732,-0.0620520878482886
"9",0.00592915668438296,0.00460549683954322,0.00979121336275909,-67.04055,-18.35068333,95.25,147.56,795.13,86.84,3525.39,0.12,48.36,13,344.48,1013,NA,6,3870,NA,NA,NA,NA,180,48.57,407,15.9,5.424,595.01,NA,0.0018,640.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3701,41,27.44070053,91,108,336,3087,0.0056,8.442432097,"Central Andean dry puna",337,0.625,0.536662,6,2,"Inland Water",6.641028404,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0.09,0,0,0,0,36.01,0,18.07,0,0,0,0,38.12,0,0,0.32,0,92.63,0.09,0.32,0,0,0,0,0,6.92,NA,NA,NA,"Desaguadero-SAltiplano",292.266129302979,0.858060082793236,-1.77058083741245,1.99529993375479,0.971246838394067,-0.176610967641174
"10",0.00575163178513137,0.00449779617044118,0.00901367227841577,-68.96798333,-16.64406667,68.54,161.37,712.48,84.34,4008.77,0.2,183.47,14,169.1,1167,NA,NA,2450,NA,NA,NA,NA,66.13,49.11,284,23.2,1.993,388.13,NA,0.0105,364.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3827,87.7,87.7,81,93,636,2167,0.0024,20.35484013,"Central Andean wet puna",337,1,0.49285,1,2,"Semi Desert Shrubs",5.371116161,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0.09,24.7,0,0,0,0,0,0,62.06,0,0.07,0,0,0,0,1.33,0,0,0.07,0,75.25,0,0.07,0,0,0,0,0,24.7,NA,NA,NA,"Desaguadero-SAltiplano",1108.65770263672,2.23382692337036,-1.57251627692062,2.51407708684642,0.431867835468893,-0.0779815567901838
